line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
11801,bb9b532542d4da85c10d7fdc4265df10,TASS,Кабмин рассматривает установление приоритета для отечественных ИИ-решений при госзакупках,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
11802,cf78e2090ce0b617a6d96fcb5d95e156,TASS,Чемпионка РФ Осипова на тренировках прыгала через барьеры в полной темноте,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
11901,fcd4ae25eef75aef71254f21ea5892ae,TASS,"В ""Ясной Поляне"" Тульской области впервые стартовал фестиваль ""Усадьбы Москвы""",allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
11902,512aa1046eb5b1aa92a95964fc86733a,TASS,Тренеры ЦСКА на время оставили спорт ради участия в СВО,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
11903,46579072fa51a46bd7a39968aad09afe,TASS,ВСУ потеряли пункт управления БПЛА и робототехнический комплекс под Славянском,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
11904,a9f92447fd83a56863e81ef4b42321c0,TASS,World Skate сняла ограничения с российских спортсменов,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
11905,727f50d9f5b7855f0b5537d39ca2bf22,TASS,Бутман: России необходима своя консерватория для неакадемической музыки,allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
11906,730d0b956f53b8b5e40d36c69914661e,TASS,Мишустин рекомендовал регионам расширить налоговые льготы по УСН для IT-компаний,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
11907,e2531bc1b2e854f47254378452bc0fcd,TASS,"""Калашников"" выводит на госиспытания новый комплект бронежилета и шлема",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
11908,cea0e68090eca0d664bcd3bc393d97d4,TASS,Кабмин поручил продолжать перевод IT-инфраструктуры на российское ПО,allow,allow,,green,True,primary:labor_economy
12001,5605d3107b106f3d64714d58dd3d0bdf,TASS,"Астрономы рассказали, как увидеть затмение Солнца в Москве 12 августа",skip,allow,,green,True,"out_of_scope:science,green_forced_to_allow"
12002,3911d7eb5d9df79f4064cd30ee55979f,TASS,В РФ с 1 марта 2027 года банки будут отказывать в переводах при вредоносном ПО,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
